transX, transY
2.50724, 2.37496
0.682346, 2.19446
0.0221854, 2.51275
0, 1.70929
1.58624, 0.931538
2.50426, 2.26818
0.713607, 2.1735
0.100424, 2.50843
0, 1.76503
2.49921, 0.375556
2.50574, 2.16743
0.731851, 2.13445
0.17954, 2.48616
0, 1.82841
2.49414, 0.261035
2.48688, 2.0645
0.767019, 2.12602
0.248221, 2.49473
0.0189529, 1.87774
2.49536, 0.133927
2.50579, 1.97306
0.805578, 2.12217
0.315686, 2.50023
0.0111752, 1.95248
2.48577, 0.00587076
2.50054, 1.87984
0.867159, 2.1438
0.382307, 2.49522
0.0131756, 2.02588
0.699682, 1.42458
2.51024, 1.79092
1.25842, 2.498
0.446412, 2.50627
0.0199438, 2.10129
0.67471, 1.46402
2.49222, 1.70282
1.33685, 2.49142
0.508959, 2.49554
0, 2.21284
0.667041, 1.49266
2.51417, 1.61874
1.44384, 2.50252
0.571585, 2.50303
0.0150518, 2.29693
0.672531, 1.50922
2.505, 1.53459
1.53361, 2.48956
0.63438, 2.50431
0.0109097, 2.4182
0.673379, 1.53328
2.48564, 1.45134
1.65476, 2.49075
0.695717, 2.49709
0.041111, 2.50758
0.794439, 1.38092
2.51084, 1.36045
1.7963, 2.4938
0.685464, 2.21175
0.137637, 2.49657
0.813851, 1.35934
2.09274, 1.37931
1.93922, 2.48649
0.710098, 2.14212
0.218494, 2.50105
0.815083, 1.36774
2.06528, 1.3251
2.12266, 2.48689
0.74833, 2.13156
0.291109, 2.51313
0.820131, 1.36993
2.07396, 1.26095
2.35659, 2.48836
0.788077, 2.12537
0.369809, 2.50668
0.831115, 1.35537
2.48373, 1.02076
2.49546, 2.4336
0.829628, 2.12241
0.440445, 2.514
0.830089, 1.36937
2.48222, 0.927407
2.50607, 2.33109
0.896517, 2.16329
0.516005, 2.49855
0.8287, 1.38944
2.50035, 0.818729
2.50149, 2.22845
1.16105, 2.50492
0.579642, 2.5194
0.837363, 1.37427
2.49367, 0.718064
2.51019, 2.13488
1.22189, 2.48361
0.707969, 2.16262
0.843144, 1.37108
2.49943, 0.607211
2.49483, 2.04312
1.30268, 2.48812
0.757167, 2.14202
0.848959, 1.36939
1.71518, 1.11455
2.48845, 1.95684
1.39286, 2.49728
0.803136, 2.12785
0.853214, 1.39003
1.65881, 1.11369
2.50128, 1.87298
1.48239, 2.49723
0.846951, 2.1403
0.859204, 1.41543
1.61856, 1.10396
2.49471, 1.78805
1.5754, 2.49171
0.892482, 2.16044
0.864897, 1.37831
1.60186, 1.07177
2.49654, 1.70523
1.6772, 2.4868
0.969493, 2.51592
0.889252, 1.59421
1.58693, 1.03835
2.51099, 1.62008
1.78442, 2.47705
1.03004, 2.48265
0.903028, 1.57617
1.56745, 1.00829
2.48832, 1.53929
1.94453, 2.49285
1.10052, 2.5111
0.911717, 1.54245
2.20502, 0.000694182
2.49899, 1.45229
2.09565, 2.48679
1.16832, 2.51045
0.918621, 1.51561
2.09551, 0
2.50212, 1.36588
2.27735, 2.48301
1.23933, 2.51463
0.919997, 1.47961
1.98968, 0
2.15888, 1.40582
2.50786, 2.48488
1.30388, 2.49416
0.386833, 0.000312032
1.89166, 0
2.10457, 1.36212
2.51501, 2.37456
1.37485, 2.48758
0.313807, 0.0167368
1.80246, 0
2.07752, 1.31677
2.50217, 2.25874
1.47079, 2.49955
0.262514, 0.0148873
1.74342, 0
2.06315, 1.29089
2.51985, 2.18424
1.54509, 2.48504
0.253449, 0.011855
1.71624, 0.00645846
2.07427, 1.27299
2.49694, 2.12485
1.61305, 2.48776
0.273222, 0
1.73534, 0
2.06511, 1.27493
2.50204, 2.0857
1.67941, 2.50065
0.327201, 0
1.76819, 0
2.07334, 1.27
2.48929, 2.04438
1.74619, 2.51823
0.372213, 0
1.80049, 0.0067382
2.07962, 1.26632
2.51265, 2.01407
1.79142, 2.49618
0.443355, 0.00171924
1.83746, 0.00467208
2.06714, 1.27266
2.52421, 1.98007
1.84642, 2.4919
0.497034, 0
1.57175, 1.01794
2.08528, 1.26268
2.50212, 1.93639
1.89453, 2.47539
0.553571, 0
1.59602, 1.05991
2.06824, 1.27216
2.50906, 1.90193
1.96202, 2.49574
0.611347, 0
1.61849, 1.10894
2.07816, 1.26708
2.50582, 1.86449
2.01749, 2.49403
0.665307, 0
1.65089, 1.12469
2.07206, 1.27033
2.49935, 1.82558
2.07341, 2.49218
0.725611, 0
1.68683, 1.12777
2.08094, 1.26526
2.51465, 1.79284
2.12546, 2.48239
0.790591, 0.014575
1.72731, 1.11511
2.08619, 1.26229
2.50914, 1.75411
2.18245, 2.4822
0.840238, 0.0019786
1.76335, 1.11766
2.07614, 1.26412
2.5086, 1.72314
2.22861, 2.48122
0.8736, 0.0166323
1.7988, 1.07118
